,City,Latitude,Longitude,Maximum Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,bunia,1.57,30.25,64.11,94,48,2.15,CD,1589843883
313,ikongo,-21.88,47.43,62.69,77,91,0.85,MG,1589843883
314,angoche,-16.23,39.91,72.95,83,74,9.22,MZ,1589843883
315,passo fundo,-28.26,-52.41,60.73,76,0,5.53,BR,1589843883
316,privas,44.58,4.5,69.8,46,5,23.04,FR,1589843883
317,verkhnyaya inta,65.98,60.31,44.01,62,0,9.19,RU,1589843883
318,katsina,12.99,7.6,85.41,37,41,6.35,NG,1589843883
319,haines junction,60.75,-137.51,55.33,46,80,4.94,CA,1589843883
320,katobu,-4.94,122.53,78.6,92,98,2.57,ID,1589843883
321,uong bi,21.03,106.78,82.4,88,75,4.7,VN,1589843883
322,mandera,3.94,41.87,80.22,61,59,9.46,KE,1589843883
323,balkhash,46.84,74.98,62.4,71,57,15.93,KZ,1589843883
324,faanui,-16.48,-151.75,81.37,79,14,13.0,PF,1589843883
325,sinnamary,5.38,-52.95,78.28,91,71,7.09,GF,1589843883
326,ciudad bolivar,8.12,-63.55,89.89,39,64,13.42,VE,1589843883
327,meulaboh,4.14,96.13,79.3,77,100,5.06,ID,1589843883
328,nome,64.5,-165.41,57.99,30,1,12.75,US,1589843883
329,vanavara,60.34,102.28,54.93,55,72,2.26,RU,1589843883
330,arvi,20.98,78.23,88.92,20,97,7.36,IN,1589843884
331,acapulco,16.86,-99.89,89.6,43,75,9.17,MX,1589843669
332,juan de acosta,10.83,-75.03,87.8,70,20,10.29,CO,1589843884
333,kidal,18.44,1.41,89.01,11,0,14.34,ML,1589843884
334,mayo,38.89,-76.51,66.99,63,90,10.29,US,1589843870
335,mogadishu,2.04,45.34,80.31,83,0,16.98,SO,1589843884
336,gravdal,68.12,13.5,38.53,80,86,5.93,NO,1589843884
337,marienburg,54.04,19.03,52.0,92,100,5.99,PL,1589843884
338,denpasar,-8.65,115.22,80.6,100,20,4.7,ID,1589843833
339,constitucion,-35.33,-72.42,56.75,92,97,1.7,CL,1589843884
340,sherman,33.64,-96.61,87.01,58,0,1.01,US,1589843789
341,kouango,4.99,19.96,72.05,92,65,1.1,CF,1589843884
342,salalah,17.02,54.09,84.2,89,75,5.82,OM,1589843884
343,gornopravdinsk,60.05,69.9,57.7,94,100,4.81,RU,1589843884
344,sussex,41.18,-74.67,68.0,59,1,9.17,US,1589843797
345,hun,29.13,15.95,85.53,14,0,9.64,LY,1589843884
346,hobyo,5.35,48.53,82.99,75,11,21.07,SO,1589843884
347,carora,10.18,-70.08,86.38,44,59,16.22,VE,1589843884
348,japura,-0.32,102.35,73.99,98,94,1.07,ID,1589843884
349,yongan,39.7,113.69,57.18,37,35,1.72,CN,1589843884
350,junagarh,19.87,82.93,81.39,45,100,2.21,IN,1589843884
351,saskylakh,71.92,114.08,37.38,97,100,2.59,RU,1589843884
352,ewa beach,21.32,-158.01,82.4,65,90,8.05,US,1589843884
353,novyy urengoy,66.08,76.63,44.17,84,100,15.01,RU,1589843885
354,souillac,-20.52,57.52,73.4,64,75,12.75,MU,1589843885
355,bhadrachalam,17.67,80.88,84.16,59,97,1.07,IN,1589843885
356,dongsheng,39.82,109.98,58.39,33,85,4.0,CN,1589843885
357,ayapel,8.31,-75.14,82.4,86,45,5.91,CO,1589843885
358,galesong,-5.32,119.37,77.0,94,20,4.7,ID,1589843885
359,batagay-alyta,67.8,130.41,38.62,77,12,2.21,RU,1589843885
360,college,64.86,-147.8,62.01,21,20,12.75,US,1589843885
361,narsaq,60.92,-46.05,50.0,19,81,17.22,GL,1589843885
362,ust-ilimsk,58.0,102.66,49.48,78,100,2.95,RU,1589843885
363,yaan,7.38,8.57,80.17,81,92,7.58,NG,1589843885
364,muskegon,43.3,-86.13,57.2,82,90,12.75,US,1589843885
365,porto novo,6.5,2.6,84.2,79,40,12.75,BJ,1589843885
366,kamariotissa,40.48,25.47,68.0,72,100,11.41,GR,1589843885
367,tommot,58.96,126.29,54.77,67,95,0.58,RU,1589843885
368,sao filipe,14.9,-24.5,72.77,78,5,9.08,CV,1589843885
369,kiruna,67.86,20.23,27.03,95,99,6.82,SE,1589843885
370,port blair,11.67,92.75,83.73,79,100,22.88,IN,1589843885
371,oyama,36.3,139.8,69.01,93,90,19.46,JP,1589843885
372,honiara,-9.43,159.95,86.0,74,75,9.17,SB,1589843885
373,meadow lake,34.8,-106.54,91.99,7,40,6.93,US,1589843739
374,kahului,20.89,-156.47,84.2,66,40,25.28,US,1589843620
375,paranhos,-23.89,-55.43,62.53,79,0,4.7,BR,1589843885
376,faya,18.39,42.45,66.2,59,97,5.82,SA,1589843885
